시설물명칭,구간_시작지점,구간_경유지점,구간_종착지점,탐방로길이,소요시간_상행,소요시간_하행
주등산로                                                                            ,삼천사계곡입구,삼천사,부왕동암문,3,120,100
주등산로                                                                            ,백화사입구,,가사당암문,2.6,100,80
주등산로                                                                            ,용암사입구,의상능선,문수봉,3.9,170,150
주등산로                                                                            ,산성분소,,등운각,1.2,60,40
주등산로                                                                            ,법용사입구,,가사당암문,1.6,80,60
주등산로                                                                            ,행궁지입구,남장대지,청수동암문,1.7,90,70
주등산로                                                                            ,북한산성계곡,대성암,대남문,1.2,30,20
효자원~대동사입구                                                                   ,효자원,원효봉,대동사입구,2.9,90,70
북한산성입구~대서문                                                                 ,북한산성입구,대서문,위문,4.1,130,110
밤골입구~밤골계곡                                                                   ,밤골입구,,밤골계곡,0.9,40,30
주등산로                                                                            ,사기막입구,,백운대,3.3,120,100
용학사~부왕동암문                                                                   ,용학사,,부왕동암문,0.9,10,10
독박골~구기불광능선                                                                 ,독박골,,구기불광능선,1.4,20,15
등운각~보국문                                                                       ,등운각,중성문,보국문,4,65,60
주등산로                                                                            ,선운교,,하루재,1.56,50,40
주등산로                                                                            ,구천폭포,,칼바위능선,1,40,25
주등산로                                                                            ,약수암,영불사,대남문,4,100,80
주등산로                                                                            ,백은매표소,삼거리,하루재,1.8,70,0
5.비선대~영시암                                                                     ,비선대,마등령,영시암,7400,290,300
소공원~희운각대피소                                                                 ,소공원(일주문),양폭대피소,희운각대피소,8500,290,210
오색~대청봉                                                                         ,남설악,설악폭포,대청봉,5000,240,180
성불사입구~범골능선                                                                 ,성불사입구,,범골능선,600,0,0
의정부시청뒤~백인굴                                                                 ,의정부시청 뒤,,백인굴,1300,0,0
범골~범골능선~사패능선                                                              ,범골,범골능선,사패능선,2800,0,0
덕제샘~망월사~포대능선                                                              ,덕제샘,망월사,포대능선,800,0,0
다락원입구~다락능선                                                                 ,다락원입구,,다락능선,1300,0,0
원각사입구~사패능선                                                                 ,원각사입구,,사패능선,2500,0,0
흑산도 자연관찰로                                                                   ,진리당,,진리당,0.7,10,0
탐방로(죽령옛길)                                                                    ,죽령옛길,,죽령옛길,2,0,0
흑산면사무소~어울림~소사리                                                          ,흑산면사무소,어울림,소사리,4.1,70,40
오세암~봉정암                                                                       ,오세암,가야동계곡,봉정암,3500,180,150
여심폭포입구~용소폭포                                                               ,흘림골입구,등선대,용소폭포,3100,100,130
신계동~상왕봉                                                                       ,신계동,,상왕봉,3200,0,0
통제소~일주문                                                                       ,통제소,,일주문,1300,20,20
탐방로                                                                              ,상왕봉,,동피골야영장,4600,90,90
청량동~남산제일봉                                                                   ,청량동,,남산제일봉,2300,100,90
탐방로                                                                              ,동성봉입구,동성봉,용기폭포아래,0,0,0
상왕봉~비로봉                                                                       ,상왕봉,,비로봉,2.3,0,0
큰골삼거리~자연성릉                                                                 ,큰골삼거리,금잔디고개,자연성릉,1400,55,35
갑사분소~동학사탐방지원센터                                                         ,갑사분소,연천봉고개~관음봉고개~은선폭포,동학사탐방지원센터,7400,260,240
신원사~연천봉                                                                       ,신원사,연천봉고개,연천봉,2900,110,90
수통골주차장~수통골                                                                 ,수통골주차장,빈계산~금수봉~자티고개~도덕봉,수통골,8700,330,330
백담사~대청봉                                                                       ,백담사,봉정암,대청봉,12900,470,320
황장폭포~장수대                                                                     ,황장폭포,대승령,장수대,7300,240,210
남교리~한계령갈림길                                                                 ,남교리,대승령,한계령삼거리,16200,510,490
마등령~한계령                                                                       ,마등령,소청,한계령,14700,690,660
소공원~권금성                                                                       ,소공원,,권금성,1200,100,60
소공원~울산바위                                                                     ,소공원,흔들바위(계조암),울산바위,3800,120,50
소공원~토왕성폭포 전망대                                                            ,소공원(비룡교),비룡폭포,토왕성폭포 전망대,2810,60,50
용소입구~오색약수터 탐방로                                                          ,용소폭포주차장,용소폭포,오색약수터,3500,70,80
소금강-동피골                                                                       ,소금강,"노인봉, 동대산",동피골야영장,17700,580,0
상원사~비로봉                                                                       ,상원사,적멸보궁,비로봉,3.5,100,100
동대산~두로령                                                                       ,동대산,두로봉,두로령,8300,280,0
두로령~상왕봉                                                                       ,두로령,,상왕봉,1.9,0,0
탐방로                                                                              ,부곡리,곧은치,비로봉,15,240,190
탐방로                                                                              ,부곡리,변암,비로봉,10,180,130
탐방로                                                                              ,성남,남대봉,상원사,9,150,110
자하교~학소대(자연관찰로)                                                           ,자하교,주왕암,학소교,1200,30,30
대전사~금은광이삼거리(장군봉탐방로)                                                 ,대전사,장군봉,금은광이삼거리,5300,140,90
절골입구~가메봉                                                                     ,절골입구,대문다리,가메봉,5700,0,0
대전사~후리메기삼거리                                                               ,대전사,주봉,후리메기삼거리,4800,0,0
제7탐방로(자연관찰로)                                                               ,자하교,주왕암입구,학소대쉼터,1.2,30,20
도초도 탐방로                                                                       ,시목,작은시목,목넘,1.84,40,30
성도원하단~마당바위                                                                 ,성도원하단,,마당바위,820,0,0
석굴삼거리~신선대                                                                   ,석굴삼거리,,신선대,1100,0,0
오봉능선~도봉주능선                                                                 ,오봉능선,,도봉주능선,1100,0,0
"송추~송추남능선,오봉능선~도봉주능선                                                 ",송추,"송추남능선,오봉능선",도봉주능선,4100,0,0
송추폭포입구~오봉능선                                                               ,송추폭포입구,,오봉능선,1900,0,0
수통탐방지원센터~체험학습관~수통폭포~                                               ,수통골탐방지원센터,수통폭포,금수봉삼거리,2650,100,80
수통폭포~성북동삼거리                                                               ,수통폭포,,성북동삼거리,1100,50,40
체험학습관~수통폭포~가리울위삼거리                                                  ,수통폭포,,가리울삼거리,1800,60,40
동학사일주문~일주문상단100m                                                         ,동학사일주문,,일주문상단100M,0.095,15,15
만수계곡자연관찰로                                                                  ,만수교,,만수교,2,,
미륵리역사자연관찰로                                                                ,미륵리주차장,,미륵리주차장,0,0,0
전나무숲 자연관찰로                                                                 ,월정사,,일주문,1,20,20
자연관찰로                                                                          ,금산입구(분기점),계곡 습지,금산입구(회유형),1,50,40
5.화엄사~연기암                                                                     ,화엄사,,연기암,3900,90,60
6.당동~당동마을                                                                     ,당동,,당동마을,2000,120,90
자연관찰로                                                                          ,국제화장실,,해인사일주문,700,20,15
도봉자연관찰로                                                                      ,도봉탐방지원센터,도봉사~산정약수터~서원터,도봉탐방지원센터,1500,50,40
원도봉자연관찰로                                                                    ,원도봉쌍용사,원효사하단,엄홍길생가터,600,40,30
노고단고개~노고단정상                                                               ,노고단고개,,노고단정상,0.7,30,20
4.성삼재~노고단정상                                                                 ,성삼재,무넹기,노고단고개,5400,90,60
직전마을~삼홍소                                                                     ,직전마을,표고막터,삼홍소,2.3,80,60
화엄사~연기암                                                                       ,화엄사,용소,연기암,2,60,40
소금강 자연관찰로                                                                   ,무릉계,,구룡폭포,2.2,60,60
법주사 자연관찰로                                                                   ,법주사 매표소,오리숲,법주사 일주문,700,10,10
화양-자연관찰로-데크                                                                ,화양동 잔디밭 B화장실 맞은편,,화양2교 이전,300,10,10
몽산포 자연관찰로                                                                   ,몽산포 야영장,,몽산포 습지 데크,900,10,10
기지포 자연관찰로                                                                   ,기지포 탐방지원센터,,기지포 해변,1100,30,30
10.월평마을~바래봉                                                                  ,월평마을,,바래봉,3800,110,90
11.바래봉삼거리~바래봉                                                              ,바래봉삼거리,,바래봉,600,30,20
12.와운교~요룡대                                                                    ,와운교,,요룡대,1500,50,40
13.뱀사골야영장~와운길                                                              ,뱀사골야영장,,와운길,800,30,20
14.정령치~정령치습지                                                                ,정령치,,정령치 습지,400,10,10
15.육모정~육모정                                                                    ,육모정,약수터,육모정,700,30,20
16.구룡임도~구룡치                                                                  ,구룡임도,,구룡치,500,30,20
주등산로                                                                            ,선운교,옥류교-소귀천매표소,대동약수,2.5,35,25
쌍곡-탐방로(떡바위~칠보산~쌍곡폭포)                                                 ,떡바위,칠보산,쌍곡폭포,6200,210,180
속리-탐방로(비로산장~상고암)                                                        ,비로산장,,상고암,1200,60,40
속리-탐방로(새목이~삼가리)                                                          ,새목이,,삼가리,4100,90,90
화양-탐방로(자연학습원~가령산~낙영산                                                ,자연학습원,가령산,낙영산,6000,120,100
화북-옥양폭포~백악산~입석                                                           ,옥양폭포,백악산,입석,11500,210,180
쌍곡-탐방로(각연사~칠보산_청석재)                                                   ,각연사,,칠보산,3000,60,40
쌍곡-탐방로(각연사~칠보산_활목재)                                                   ,각연사삼거리,,칠보산(하),1500,40,30
쌍곡-탐방로(갈론~아가봉~갈론)                                                       ,갈론,아가봉,갈론,8200,240,240
미타사~북가치~민판동                                                                ,미타사,북가치,민판동,2200,60,60
형제봉~만수리                                                                       ,형제봉,,만수리,2500,90,60
탐방로                                                                              ,하치마을,누릿재,사자저수지,1.6,60,50
탐방로                                                                              ,산성대입구,,광암터,2.6,0,0
탐방로                                                                              ,경포대삼거리,,종주능선,1.5,0,0
탐방로                                                                              ,천황주차장,,탑동약수터,0.927,0,0
탐방로                                                                              ,구정봉,용암사지(마애불),홍계골,3.5,0,0
탐방로                                                                              ,죽정,,월대암,0.6,0,0
수통골주차장~빈계산능선                                                             ,수통골주차장,,빈계산능선,500,40,30
갑사~대적전                                                                         ,갑사분소,철당간지주,대적전,500,40,30
상신마을~만학골                                                                     ,상신마을,구재,만학골,3000,160,140
갑사상가~안터                                                                       ,갑사상가,,안터,900,50,40
민목재~자티고개                                                                     ,민목재,관암산~백운봉,자티고개,2700,110,90
도덕봉~삽재                                                                         ,도덕봉,,삽재,1600,70,50
"갑사분소~일주문,갑사~갑사분소                                                       ",갑사분소,"일주문, 갑사",갑사분소,1.2,90,70
만화재~북문                                                                         ,만화제,,북문,900,60,50
등천리~은선동                                                                       ,등천리,,은선동,1500,65,55
탐방로                                                                              ,태배,,가르미끝,0.4,30,20
탐방로                                                                              ,산너두골,,큰재산,0.3,30,25
6. 백사장~꽃지(안면도)                                                              ,백사장,창정교,꽃지,3600,50,50
우이령길                                                                            ,강북구우이동,,장흥면교현리(우이령길),4460,0,0
북부복원센터 목재데크                                                               ,북부복원센터 건물 뒷편,,생태학습장 상단,0.06,3,3
제2수원지                                                                           ,미술관앞,제2수원지,산길,0.894,0,0
배낭기미습지탐방로                                                                  ,진리마을,,배낭기미습지,0.43,0,0
동학사매표소 ~ 구야영장                                                             ,동학사매표소,동학사,구야영장,1.3,30,20
기지포 자연관찰로                                                                   ,기지포탐방지원센터,,기지포해변,300,5,5
탐방로                                                                              ,,,,,,
동학사 ~ 관음봉                                                                     ,동학사,은선폭포,관음봉,3,100,70
은선동삼거리                                                                        ,은선동삼거리,,새재갈림길,1100,30,30
교리터널~수레바위                                                                   ,,,,,,
천황사지구~도갑사                                                                   ,천황사지구,,도갑사,8600,390,350
미술관앞~제2수원지~산길                                                             ,미술관앞,제2수원지,산길,900,,
진리마을~배낭기미습지                                                               ,진리마을,,배낭기미습지,400,,
청수폭포~대성문                                                                     ,,,,,,
운문암                                                                              ,운문암갈림길,,옹달샘갈림길,600,30,25
정진~족두리봉                                                                       ,정진공원지킴터,,족두리봉,1400,60,40
탕춘대매표소~암문                                                                   ,탕춘대매표소,,암문,1200,40,25
소도집단시설지구매표소~천왕단(천제단)                                               ,소도집단시설지구매표소,단군각~망경사,천왕단(천제단),3700,,
반재갈림길~문수봉갈림길                                                             ,반재갈림길,,문수봉갈림길,1700,,
소도집단시설지구매표소~반재                                                         ,소도집단시설지구매표소,만적사~대진주암,반재,1600,,
소도집단시설지구매표소~소문수봉갈림길                                               ,소도집단시설지구매표소,제당골,소문수봉갈림길,1500,,
소문수봉~혈동집단시설지구매표소                                                     ,유황골,문수봉~천왕단(천제단)~장군봉,혈동집단시설지,10300,,
금천~소문수봉                                                                       ,금천,절터골,소문수봉,2900,,
금천갈림길~소문수봉                                                                 ,금천갈림길,,소문수봉,2000,,
백단사집단시설지구매표소~반재                                                       ,백단사집단시설지구매표소,,반재,1600,,
분주령~금대봉                                                                       ,분주령,,금대봉,3300,,
대덕산~분주령                                                                       ,대덕산,분주령갈림길,분주령,1500,,
분주령~대덕산                                                                       ,분주령,정진외박골,대덕산,1700,,
검룡소입구~분주재골                                                                 ,검룡소입구,,분주재골,1500,,
검룡소갈림길~검룡소                                                                 ,검룡소갈림길,,검룡소,600,,
검룡소주차장~쑤아밭령                                                               ,검룡소주차장,,쑤아밭령,1400,,
늦동목이재~만항재                                                                   ,늦동목이재,두문동재~은대봉~금대봉~함백산,만항재,12400,,
은대봉~도깨비도로갈림길                                                             ,은대봉,,도깨비도로갈림길,900,,
새마을지도자공원~도깨비도로(구도로)                                                 ,새마을지도자공원,,도깨비도로(구도로),700,,
적조암갈림길~O2리조트                                                               ,적조암갈림길,자작나무샘터,O2리조트,2400,,
만항재~화방재                                                                       ,만항재,,화방재,3200,,
화방재~유일사                                                                       ,화방재,사길령~유일사갈림길,유일사,3000,,
태백사~유일사갈림길                                                                 ,태백사,,유일사갈림길,500,,
주목군락지~부쇠봉갈림길                                                             ,주목군락지,망경사(샛길),부쇠봉갈림길,1700,,
단군성전갈림길~소문수봉                                                             ,단군성전갈림길,,소문수봉,1300,,
부쇠봉~깃대배기봉                                                                   ,부쇠봉,,깃대배기봉,3200,,
병오마을~깃대배기봉갈림길                                                           ,병오마을,,깃대배기봉갈림길,5500,,
칠반맥이골~부쇠봉갈림길                                                             ,칠반맥이골,상골,부쇠봉갈림길,3300,,
백천계곡~문수봉갈림길                                                               ,백천계곡,,문수봉갈림길,3200,,
두리봉갈림길~병오천계곡                                                             ,두리봉갈림길,,병오천계곡,1700,,
하늘재~부봉~마패봉삼거리                                                            ,하늘재,부봉,마패봉삼거리,8500,300,280
덕주사~영봉                                                                         ,덕주사,송계삼거리,영봉,4900,210,180
보덕암~보덕암삼거리(영봉)                                                           ,보덕암,,영봉,3700,210,180
안생달~작은차갓재~황장산~안생달                                                     ,안생달,황장산,안생달,3800,210,180
탐방로                                                                              ,부곡 큰무레골,천사봉,비로봉,4100,210,150
법주사~세심정 우회탐방로(세조길)                                                    ,법주사 삼거리,태평휴게소,세심정,2.35,80,80
데크                                                                                ,,,,,,
데크                                                                                ,"채석강, 관음봉",,,,,
16구간                                                                              ,제1수원지,,가운데등,,,
우이암~우이깔딱고개                                                                 ,우이암,,우이깔딱고개,6000,180,120
선림사~고양공원묘지                                                                 ,선림사,,고양공원묘지,3.4,100,100
효자동입구~솔고개                                                                   ,효자동입구,,솔고개,8,180,180
강북구우이령~우이령정상                                                             ,강북구우이령,,우이령정상,2,60,40
옥천암~홍은동극동아파트뒤                                                           ,옥천암,,홍은동극동아파트뒤,0.9,20,20
15.연화봉~비로봉                                                                    ,연화봉,천동삼거리,비로봉,4300,105,105
뱀사골 제1자연관찰로                                                                ,뱀사골힐링야영장,,뱀사골힐링야영장,1000,20,20
뱀사골 제2자연관찰로                                                                ,반선교,,요룡대,2000,40,30
구룡계곡 자연관찰로                                                                 ,육모정,,육모정,1500,35,25
원효교~꼬막재                                                                       ,원효교,,꼬막재,2,,
원효광장~장불재                                                                     ,원효광장,늦재삼거리,장불재,6,,
충장사~용추갈림길                                                                   ,충장사,동화사터,용추갈림길,5.5,,
늦재삼거리~토끼등                                                                   ,늦재삼거리,바람재,토끼등,1.9,1,
토끼등~중머리재                                                                     ,토끼등,봉황대,중머리재,1.7,,
증심교~동화사터갈림길                                                               ,증심교,토끼등,동화사터갈림길,2.2,,
망양마을~반송재(거제)                                                               ,망양마을,,반송재,1100,40,30
상의지구 자연관찰로                                                                 ,자하교,주왕암,학소대,1.2,25,20
주산지 자연관찰로                                                                   ,주산지 입구,주산지보,주산지전망대,1,30,20
1. 바라길1(학암포~구례포 북단)                                                      ,학암포해변,,구례포해변 북단,1567,20,20
2. 바라길2(구례포해변 남단~모재골                                                   ,구례포해변 남단,,모재골,2257,35,35
3. 소원길(태배~만리포해변)                                                          ,태배,,만리포해변,2883,45,45
4. 파도길1(모항항~행금이)                                                           ,모항항,,행금이,464,10,10
5. 파도길2(망미산~파도리해변)                                                       ,망미산,,파도리해변,623,10,10
7. 장고도1(대머리선착장~해수욕장)                                                   ,대머리선착장,,해수욕장,925,15,15
8. 장고도2(버섯산~염전저수지)                                                       ,버섯산,,염전저수지,860,15,15
9. 고대도(당너머해수욕장~고대방파제                                                 ,당너머해수욕장,,고대방파제,494,10,10
학암포 자연관찰로                                                                   ,학암포주차장화장실 맞은편,학암포습지,학암포해변 북부,700,15,15
몽산포 자연관찰로                                                                   ,몽산포야영장,,몽산포습지데크,700,10,10
탐방로(초암공원지킴터~초암사)                                                       ,초암공원지킴터,초암탐방지원센터,초암사,1930,50,30
24. 소막골야영장~구 가랑잎초교                                                      ,소막골야영장,,구 가랑잎초교,3110,,
만지마을~만지마을                                                                   ,만지마을,만지봉,만지마을,2500,,
가마솥골입구~자생식물원입구                                                         ,가마솥골입구,,자생식물원 입구,960,,
오색1교~관터                                                                        ,오색1교,,관터,1480,,
곰배령~진동리하산길                                                                 ,곰배령,,진동리하산길,900,,
탐방로(남대분교~늦은목이)                                                           ,늦은목이,,남대분교,3.18,90,90
목재교량                                                                            ,,,,,,
목재교량                                                                            ,진국교,진국교,진국교,,,
송추자연관찰로                                                                      ,송추계곡입구,,송추샘,1100,30,25
울대습지 자연관찰로                                                                 ,울대습지시점,,울대습지종점,500,15,15
정릉 자연관찰로                                                                     ,정릉 탐방지원센터상단150m,청수1교,정릉 탐방지원센터상단150m,700,15,10
증심지구 천변 자연관찰로                                                            ,,,,,,
송계지구무장애탐방로                                                                ,,,,1000,,
울산바위 일출쉼터                                                                   ,소공원,계조암,울산바위 정상,3800,120,90
죽령옛길 탐방로                                                                     ,용부사 ,죽령폭포,음지마을,2915,100,90
죽령옛길 탐방로                                                                     ,용부사,죽령폭포,음지마을,2915,100,90
백련사~오수자굴~중                                                                  ,,,,4,,
우이자연관찰로                                                                      ,소귀천공원지킴터,,소귀천탐방로,900,15,15
수유자연관찰로                                                                      ,아카데미탐방지원센터,가마터,이준열사묘입구,1500,25,25
무장애탐방로                                                                        ,,,,,,
총각샘 데크                                                                         ,,,,,,
총각샘 데크                                                                         ,,,,,,
비자~북암                                                                           ,비자,,북암,4800,240,210
6.관음사~염불사지                                                                   ,관음사,칠불암,염불사지,4000,150,150
횡간~사자바위                                                                       ,횡간,,사자바위,1300,40,40
물하태~임촌                                                                         ,물하태,,임촌,1500,40,40
울몰~석화포                                                                         ,울몰,,석화포,1500,50,40
안도해변~이야포                                                                     ,안도해수욕장,,이야포,3000,60,60
장촌~해안가                                                                         ,장촌,,해안가,700,30,30
팔영산종주                                                                          ,야영장,,남포미술관,7000,250,220
적취봉~야영장                                                                       ,적취봉,,야영장,3600,160,140
곡강~성주봉                                                                         ,곡강,,성주봉,2500,150,120
성기제~묘지                                                                         ,성기제,,묘지,2000,80,70
휴양림~헬기장                                                                       ,휴양림,,헬기장,900,30,30
휴양림~전망대                                                                       ,휴양림,,전망대,1000,40,40
휴양림~두류봉                                                                       ,휴양림,,두류봉,800,30,30
유영봉~아랫길                                                                       ,유영봉,,아랫길,1000,40,30
두류봉~탑재                                                                         ,두류봉,,탑재,300,20,15
우금암                                                                              ,개암사,우금암,만석동,5300,150,150
인장암                                                                              ,세봉,,인장암,1.2,40,40
만석동                                                                              ,만석동,,감불,3.8,150,150
마실길                                                                              ,고사포,반월,죽막,2.9,120,120
쇠뿔바위                                                                            ,어수대,쇠뿔바위,중계교부근,8000,240,250
늑도주차장~큰섬산                                                                   ,늑도주차장,,큰섬산,300,15,10
복곡제2주차장~쌍홍문                                                                ,복곡제2주차장,상사암,쌍홍문,2000,90,70
금산입구~금산입구(자연관찰로)                                                       ,금산입구,,금산입구,1000,30,20
두모계곡~이태조기단                                                                 ,두모계곡,부소암,이태조기단,2800,150,120
초양주차장~초양도                                                                   ,초양주차장,,초양도,439,5,5
이락사입구~첨망대                                                                   ,이락사입구,,첨망대,1100,30,30
노도마을~김만중유허지                                                               ,노도마을,,김만중유허지,1000,40,40
노량공원~남해대교                                                                   ,노량공원,,남해대교,1500,40,30
11.상위~묘봉치                                                                      ,상위,,묘봉치,1500,120,90
10.무넹기보~노고단고개                                                              ,무넹기보,노고단대피소,노고단고개,600,30,20
9.노루목~반야봉삼거리                                                               ,노루목,,반야봉삼거리,300,20,20
7.천은사입구~차나무밭                                                               ,천은사입구,천은사,차나무밭,1000,50,50
8.천은제입구~제방                                                                   ,천은제입구,천은사,제방,1200,50,50
18.버들받~소야                                                                      ,버들받,,소야,2500,70,40
상원사-두로령                                                                       ,상원사,비로봉,두로령,7700,240,240
북대사~상왕봉삼거리                                                                 ,북대사,,상왕봉삼거리,1100,30,30
상원사-중대                                                                         ,상원사,,중대,1300,30,30
운두령-노동계곡                                                                     ,운두령,계방산,노동계곡,6500,240,240
계방산-삼거리                                                                       ,계방산,,삼거리,1000,30,30
탐방로                                                                              ,구룡사,,대곡야영장,0.7,0,0
탐방로                                                                              ,수레너미,,한다리골,5.2,180,150
탐방로                                                                              ,슥새울입구,,슥새울,4.5,120,90
무릉교~치인교                                                                       ,무릉교,,치인교,4400,120,100
봉양리~법전리                                                                       ,봉양리,,법전리,6290,180,180
1.부처골~해목령                                                                     ,부처골,,해목령,2000,60,40
2.옥룡암~전망대                                                                     ,옥룡암,일천ㆍ마왕바위,전망대,2200,60,40
3.통일전~전망대                                                                     ,통일전,,전망대,1100,40,30
4.포석정~전망대                                                                     ,포석정,부흥사,전망대,2100,150,100
5.삼릉~금오봉                                                                       ,삼릉,상선암,금오봉,2100,80,60
7.틈수골~새갓골                                                                     ,틈수골,천룡사,새갓골,3700,150,150
8.상서장~절터갈림길                                                                 ,상서장,,절터갈림길,1000,30,30
9.이영재입구~이영재                                                                 ,이영재 입구,,이영재,700,30,30
10.국사골~지바위갈림길                                                              ,국사골,,지바위갈림길,1200,30,30
11.지바위골~팔각정터                                                                ,지바위골,,팔각정터,1300,30,30
12.당간지주~해목령                                                                  ,당간지주,,해목령,1200,40,30
12.삼불사~바둑바위                                                                  ,삼불사,,바둑바위,1400,50,40
14.약수골~금오봉                                                                    ,약수골,,금오봉,1500,60,40
15.용장골~남산진입도로                                                              ,용장골,용장사지,남산진입도로,1900,80,60
16.설잠교~백운재                                                                    ,설잠교,,백운재,1800,50,40
17.천우사~고위봉                                                                    ,천우사,이무기능선,고위봉,1700,60,40
18.와룡사~열반재                                                                    ,와룡사,천룡사지,열반재,1600,50,40
19.새갓골~이영재                                                                    ,새갓골,봉화대능선,이영재,3800,120,110
20.철와골~전망대                                                                    ,철와골,,전망대,600,30,20
21.불국사~보불로                                                                    ,불국사,토함산정상,보불로,10500,300,300
22.추령~토함산                                                                      ,추령,,토함산정상,3100,90,60
23.시부거리~토함산                                                                  ,시부거리,,토함산,1900,60,40
24.탑골~토함산                                                                      ,탑골,,토함산정상,2300,70,50
25.암곡~암곡                                                                        ,암곡,무장봉,암곡,8500,210,210
26.추원사~용연폭포                                                                  ,추원사,수랫재,용연폭포,3900,120,120
27.당고개~백석마을                                                                  ,당고개,단석산정상,백석마을,6500,200,180
28.신선사~단석산                                                                    ,신선사,,단석산정상,1700,60,40
29.OK수련원~단석산                                                                  ,OK수련원,,단석산정상,2000,60,50
30.천주암~단석산                                                                    ,천주암,,단석산정상,2000,120,100
31.용담주차장~용담주차장                                                            ,용담정주차장,구미산정상,용담정주차장,4800,150,150
32.굴불사지~다불마을                                                                ,굴불사지,소금강산,다불마을,1500,40,40
33.탈해왕릉~백률사                                                                  ,탈해왕릉,,백률사,1000,30,30
34.다불마을~금학산                                                                  ,다불마을,성지골약수터,금학산,1100,40,30
35.송화산입구~큰마을                                                                ,송화산입구,옥녀봉,큰마을,3000,100,100
36.경대교~송화산                                                                    ,경대교,,송화산,1200,30,30
37.여래사~송화산                                                                    ,여래사,,송화산,500,30,20
38.무열왕릉~월성중                                                                  ,무열왕릉,,월성중,2900,100,100
39.선원사~선도산                                                                    ,선원사,,선도산,1000,30,20
탐방로                                                                              ,효자동입구,,솔고개,2.5,30,30
주등산로                                                                            ,효자동입구,,솔고개,0,30,30
주등산로                                                                            ,우이암매표소,,원통사,2.05,30,30
주등산로                                                                            ,육모정매표소,,원통사,1.15,20,20
주등산로                                                                            ,육모정매표소,,육모정고개,1.15,20,20
주등산로                                                                            ,우이암,,우이깔딱고개,6,140,140
백운매표소~깔딱고개                                                                 ,백운매표소,,깔딱고개,1.9,20,20
주등산로                                                                            ,백운대매표소,"하루재,위문",백운대,2,30,30
주등산로                                                                            ,용암문매표소,,용암문,1.1,20,20
선운교~대동약수                                                                     ,선운교,옥류교-소귀천매표소,대동약수,2.5,30,30
주등산로                                                                            ,백련사매표소,진달래능선,대동문,2.7,35,35
주등산로                                                                            ,운가사매표소,,진달래능선,1.6,20,20
주등산로                                                                            ,아카데미매표소,구천폭포,대동문,1.9,3,3
주등산로                                                                            ,"위문,용암문","대동문,보국문,대성문,",대남문,4.3,60,60
주등산로                                                                            ,냉골매표소,,칼바위능선,1.25,20,20
주등산로                                                                            ,화계동매표소,,칼바위능선,1.25,20,20
주등산로                                                                            ,빨래골매표소,칼바위능선,산성주능선,3.35,50,50
주등산로                                                                            ,정릉매표소,,보국문,2.26,30,30
주등산로                                                                            ,청수폭포,일선사,대성문,2.69,35,35
주등산로                                                                            ,북악매표소,,형제봉삼거리,1.6,25,25
주등산로                                                                            ,형제봉매표소,형제봉,일선사,2.38,35,35
주등산로                                                                            ,평창1매표소,일선사-보현봉,대남문,3.77,90,90
주등산로                                                                            ,구기분소,,대남문,2.8,35,35
주등산로                                                                            ,비봉매표소,비봉능선-문수봉,대남문,3.77,45,45
주등산로                                                                            ,승가매표소,,비봉능선,1.61,20,20
주등산로                                                                            ,탕춘대매표소,,절터샘,1,15,15
주등산로                                                                            ,구기터널입구,,구기불광능선,1.8,15,15
주등산로                                                                            ,정진,,족두리봉,1.4,15,15
주등산로                                                                            ,불광계곡,,비봉,2.3,30,30
선림~향로봉밑갈림길                                                                 ,선림,,향로봉밑 갈림길,1.2,15,15
주등산로                                                                            ,기자촌,,향로봉,1.8,20,20
주등산로                                                                            ,진관계곡,,비봉,3.62,50,50
주등산로                                                                            ,삼천사계곡,,사모바위,1.5,10,10
삼천사계곡~문수봉                                                                   ,삼천사계곡,,문수봉,1.5,10,10
주등산로                                                                            ,삼천사계곡,,사모바위,2.7,30,30
삼천사계곡입구~부왕동암문                                                           ,삼천사계곡입구,삼천사,부왕동암문,3,60,60
백화사입구~가사당암문                                                               ,백화사입구,,가사당암문,2,25,25
용암사입구~문수봉                                                                   ,용암사입구,의상능선,문수봉,3.9,120,100
산성분소~보리사                                                                     ,산성분소,,보리사,1,10,10
법용사입구~가사당암문                                                               ,범용사입구,,가사당암문,1.6,15,15
행궁지입구~청수동암문                                                               ,행궁지입구,남장대지,청수동암문,1.7,20,20
북한산성계곡~위문                                                                   ,북한산성계곡,대서문,위문,4.1,60,60
밤골입구~밤골계곡                                                                   ,밤골입구,,밤골계곡,0.9,10,10
사기막골입구~백운대                                                                 ,사기막골입구,,백운대,3.3,55,55
태고사~북한산대피소                                                                 ,태고사,,북한산대피소,0.8,10,10
북한산성계곡~대남문                                                                 ,북한산성계곡,대성암,대남문,1.2,25,20
원도봉~포대능선                                                                     ,원도봉,다락능선,포대능선,2.6,35,30
우이분소밑~구복암위삼거리                                                           ,우이분소밑,,구복암위삼거리,8.6,230,210
불심원뒤~구기터널하단                                                               ,불심원뒤,,구기터널하단,2.7,40,30
수리봉계곡입구~정진사입구                                                           ,수리봉계곡 입구,,정진사입구,1.9,20,15
선림사~고양공원묘지입구                                                             ,선림사,,고양 공원묘지 입구,3.4,65,60
주등산로                                                                            ,구기계곡삼거리,,승가사,0.7,10,8
구기계곡삼거리~승가사                                                               ,구기계곡삼거리,,승가사,0.7,10,8
