시설물명칭,구간_시작지점,구간_경유지점,구간_종착지점,탐방로길이,소요시간_상행,소요시간_하행
탐방로                                                                              ,영원산성,,주능선,1.9,150,120
탐방로                                                                              ,영원산성,,주능선,1.9,150,100
탐방로                                                                              ,영원산성,,주능선,0,150,100
탐방로                                                                              ,영원산성,능선,주능선,1.9,150,100
탐방로                                                                              ,예송,,예송,1.91,240,300
향일암~임포                                                                         ,향일암,,임포,1200,80,60
덕포~연도남부길(소리도 등대)                                                        ,덕포,,연도남부길,3800,100,100
덕촌~거문도등대                                                                     ,덕촌,,거문도등대,4000,180,150
거문리~영국군묘지                                                                   ,거문리,,영국군묘지,1800,80,70
보옥리~예송리                                                                       ,보옥리,격자봉,예송리,4500,210,180
상서~매봉산                                                                         ,상서,,매봉산,1300,60,50
보광암~연천봉                                                                       ,보광암,등운암,연천봉,1800,90,60
이월리오수철장~갈대(소안도자연관찰로)                                               ,이월리오수처리장,,갈대밭,2550,60,60
서도초교~녹산등대                                                                   ,서도초교,,녹산등대,1500,60,60
예송~보옥                                                                           ,예송,,보옥,5160,240,240
보옥                                                                                ,보옥,,보옥,0.95,30,0
미라~맹선                                                                           ,미라,가학산,맹선,5000,150,150
신리~산동정(상산뾰족봉)                                                             ,신리,,산동정,780,40,30
꽃머리산입구~전망대                                                                 ,꽃머리산입구,,전망대,1000,40,30
운마산입구~전망대                                                                   ,운마산,,전망대,600,30,30
용두~함구미(유송리)                                                                 ,용두,,함구미,1400,70,70
굴등~직포(두모리)                                                                   ,굴등,,직포,500,30,30
작은짝지~부꾸지(구계등)                                                             ,작은짝지,,부꾸지,4500,90,90
함구미~옥녀봉(대부산)                                                               ,함구미,옥녀봉,검바위,10.1,270,270
여천~삼거리                                                                         ,여천,,삼거리,900,40,30
주차장~봉래산~주차장                                                                ,주차장,봉래산,주차장,6500,170,150
곡수당~큰길재                                                                       ,곡수당,,큰길재,1800,80,70
장지~망산                                                                           ,장지,,망산,1500,50,40
청별~큰길재                                                                         ,청별,,큰길재,4500,200,180
구계등~짝지(자연관찰로)                                                             ,구계등,,짝지,1200,30,30
성두~삼거리                                                                         ,성두,,하산길삼거리,1500,90,70
권덕~범바위                                                                         ,권덕,,범바위,1500,50,40
17.홍포마을~해미장골등(거제)                                                        ,홍포마을,,해미장골등,500,15,15
18.여차마을~여차등(거제)                                                            ,여차마을,,여차등,500,15,15
